patient_num,patient_filename,accuracy,calibration,model_prediction,ground_truth,user_prediction,user_update,question_relationship,full_questions,question_perceived_accuracy,question_calibration,question_personal_conf,question_model_conf
1,./mainpage/dataset/train_dir/0-1-patient30754_study9_view1_frontal.jpg,"""{\""0\"": 0.805, \""1\"": 0.715}""","""{\""0\"": 0.05, \""1\"": 0.05}""",1,1,0,1,5,0,3,3,3,3
2,./mainpage/dataset/train_dir/0-1-patient20425_study2_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.805}""","""{\""0\"": 0.05, \""1\"": 0.05}""",1,1,1,,5,0,3,3,3,3
3,./mainpage/dataset/train_dir/0-0-patient28869_study1_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.805}""","""{\""0\"": 0.05, \""1\"": 0.05}""",0,0,1,0,1,0,3,3,3,3
4,./mainpage/dataset/train_dir/0-1-patient37362_study3_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.805}""","""{\""0\"": 0.05, \""1\"": 0.05}""",1,1,1,1,5,0,3,3,3,3
1,./mainpage/dataset/train_dir/0-1-patient34641_study24_view1_frontal.jpg,"""{\""0\"": 0.81, \""1\"": 0.71}""","""{\""0\"": 0.03, \""1\"": 0.03}""",1,1,1,,3,0,3,3,3,3
2,./mainpage/dataset/train_dir/0-1-patient37362_study3_view1_frontal.jpg,"""{\""0\"": 0.81, \""1\"": 0.71}""","""{\""0\"": 0.03, \""1\"": 0.03}""",1,1,1,,4,0,3,3,3,3
3,./mainpage/dataset/train_dir/0-1-patient53733_study1_view1_frontal.jpg,"""{\""0\"": 0.81, \""1\"": 0.71}""","""{\""0\"": 0.03, \""1\"": 0.03}""",1,1,1,,4,1,3,2,2,4
4,./mainpage/dataset/train_dir/0-1-patient59967_study2_view1_frontal.jpg,"""{\""0\"": 0.81, \""1\"": 0.71}""","""{\""0\"": 0.03, \""1\"": 0.03}""",1,1,1,1,5,0,3,3,3,3
5,./mainpage/dataset/train_dir/0-1-patient34649_study5_view1_frontal.jpg,"""{\""0\"": 0.855, \""1\"": 0.81}""","""{\""0\"": 0.027, \""1\"": 0.03}""",1,1,1,,4,0,3,3,3,3
6,./mainpage/dataset/train_dir/0-1-patient31369_study2_view1_frontal.jpg,"""{\""0\"": 0.855, \""1\"": 0.81}""","""{\""0\"": 0.027, \""1\"": 0.03}""",1,1,1,1,4,1,4,4,3,4
7,./mainpage/dataset/train_dir/1-0-patient05413_study1_view1_frontal.jpg,"""{\""0\"": 0.805, \""1\"": 0.76}""","""{\""0\"": 0.0243, \""1\"": 0.03}""",1,0,0,1,1,0,3,3,3,3
8,./mainpage/dataset/train_dir/0-1-patient02662_study28_view1_frontal.jpg,"""{\""0\"": 0.81, \""1\"": 0.78}""","""{\""0\"": 0.0243, \""1\"": 0.03}""",1,1,1,,3,0,3,3,3,3
9,./mainpage/dataset/train_dir/0-1-patient08892_study1_view1_frontal.jpg,"""{\""0\"": 0.81, \""1\"": 0.78}""","""{\""0\"": 0.0243, \""1\"": 0.03}""",1,1,0,1,3,1,4,3,4,4
10,./mainpage/dataset/train_dir/0-1-patient39942_study2_view1_frontal.jpg,"""{\""0\"": 0.78, \""1\"": 0.77}""","""{\""0\"": 0.0243, \""1\"": 0.03}""",1,1,1,,3,0,3,3,3,3
11,./mainpage/dataset/train_dir/0-0-patient13303_study5_view1_frontal.jpg,"""{\""0\"": 0.78, \""1\"": 0.77}""","""{\""0\"": 0.0243, \""1\"": 0.03}""",0,0,0,1,4,0,3,3,3,3
12,./mainpage/dataset/train_dir/1-1-patient11896_study1_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.805}""","""{\""0\"": 0.02187, \""1\"": 0.03}""",1,1,0,1,3,1,4,4,4,5
13,./mainpage/dataset/train_dir/0-1-patient50477_study1_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.75}""","""{\""0\"": 0.02187, \""1\"": 0.03}""",1,1,1,,5,0,3,3,3,3
14,./mainpage/dataset/train_dir/1-1-patient19709_study1_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.75}""","""{\""0\"": 0.02187, \""1\"": 0.03}""",1,1,1,,4,0,3,3,3,3
15,./mainpage/dataset/train_dir/0-1-patient19709_study1_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.75}""","""{\""0\"": 0.02187, \""1\"": 0.03}""",1,1,0,1,2,1,3,4,4,4
16,./mainpage/dataset/train_dir/1-0-patient31285_study1_view1_frontal.jpg,"""{\""0\"": 0.78, \""1\"": 0.705}""","""{\""0\"": 0.02187, \""1\"": 0.03}""",0,0,0,,5,0,3,3,3,3
17,./mainpage/dataset/train_dir/0-1-patient12189_study2_view1_frontal.jpg,"""{\""0\"": 0.78, \""1\"": 0.705}""","""{\""0\"": 0.02187, \""1\"": 0.03}""",0,1,0,1,3,0,3,3,3,3
18,./mainpage/dataset/train_dir/1-1-patient35117_study5_view1_frontal.jpg,"""{\""0\"": 0.84, \""1\"": 0.78}""","""{\""0\"": 0.0229635, \""1\"": 0.03}""",1,1,1,,4,1,4,4,4,3
19,./mainpage/dataset/train_dir/1-1-patient11961_study1_view1_frontal.jpg,"""{\""0\"": 0.84, \""1\"": 0.78}""","""{\""0\"": 0.0229635, \""1\"": 0.03}""",1,1,0,0,2,0,3,3,3,3
20,./mainpage/dataset/train_dir/0-0-patient20995_study1_view1_frontal.jpg,"""{\""0\"": 0.84, \""1\"": 0.78}""","""{\""0\"": 0.0229635, \""1\"": 0.03}""",0,0,0,1,3,0,3,3,3,3
21,./mainpage/dataset/train_dir/1-0-patient41174_study4_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.77}""","""{\""0\"": 0.020667150000000002, \""1\"": 0.03}""",1,0,1,,4,1,4,4,3,4
22,./mainpage/dataset/train_dir/1-1-patient27543_study40_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.77}""","""{\""0\"": 0.020667150000000002, \""1\"": 0.03}""",1,1,0,0,2,0,3,3,3,3
23,./mainpage/dataset/train_dir/1-1-patient41867_study3_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.77}""","""{\""0\"": 0.020667150000000002, \""1\"": 0.03}""",1,1,0,0,2,0,3,3,3,3
24,./mainpage/dataset/train_dir/0-0-patient17145_study2_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.77}""","""{\""0\"": 0.020667150000000002, \""1\"": 0.03}""",0,0,0,1,4,1,5,2,2,3
25,./mainpage/dataset/train_dir/1-1-patient12189_study2_view1_frontal.jpg,"""{\""0\"": 0.8, \""1\"": 0.775}""","""{\""0\"": 0.018600435000000002, \""1\"": 0.03}""",0,1,0,,3,0,3,3,3,3
26,./mainpage/dataset/train_dir/1-1-patient18617_study1_view1_frontal.jpg,"""{\""0\"": 0.8, \""1\"": 0.775}""","""{\""0\"": 0.018600435000000002, \""1\"": 0.03}""",1,1,1,,4,0,3,3,3,3
27,./mainpage/dataset/train_dir/1-1-patient34070_study29_view1_frontal.jpg,"""{\""0\"": 0.8, \""1\"": 0.775}""","""{\""0\"": 0.018600435000000002, \""1\"": 0.03}""",1,1,1,,3,1,4,4,2,4
28,./mainpage/dataset/train_dir/1-0-patient59874_study1_view2_frontal.jpg,"""{\""0\"": 0.8, \""1\"": 0.775}""","""{\""0\"": 0.018600435000000002, \""1\"": 0.03}""",0,0,0,,4,0,3,3,3,3
29,./mainpage/dataset/train_dir/1-0-patient28869_study1_view1_frontal.jpg,"""{\""0\"": 0.8, \""1\"": 0.775}""","""{\""0\"": 0.018600435000000002, \""1\"": 0.03}""",0,0,0,,4,0,3,3,3,3
30,./mainpage/dataset/train_dir/1-0-patient28156_study8_view1_frontal.jpg,"""{\""0\"": 0.8, \""1\"": 0.775}""","""{\""0\"": 0.018600435000000002, \""1\"": 0.03}""",1,0,0,0,3,1,3,4,3,5
